,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24
Pepper,0.1839594525248391,0.3094788250821628,0.1752687503720419,0.3250091453210765,-0.04639817605975615,-0.30572782916370295,0.3044821723903529,0.01291660147069317,-0.1677694937460568,0.2542116354471461,0.3629509127329881,-0.06529767749286278,-0.19134006406390724,0.07976363207833943,0.04559400679208597,0.03520214095996923,0.27431235834631945,-0.12505160769300216,-0.19597042835650202,0.20532208042778158,-0.12967298726047144,0.17147779619749295,0.1810756835500671,-0.13583991521706743,-0.03958855183775292
Pork,0.20769963001785588,-0.012440712787821778,-0.27253423401824955,0.34475313917054207,-0.008261359932891345,-0.09442385722189972,0.054922875512665253,0.25532445706726686,-0.17404806884398574,0.21762813725888397,-0.1009103313400325,-0.3502619136232184,0.12999970353804713,-0.0023272901945722776,0.19786703155904373,0.10972257270980892,-0.48144494548554323,-0.0015060633432872146,-0.047092680113209905,-0.3334927695454369,-0.054325579517432034,-0.12887208184184512,-0.12028409197529824,-0.16636046135070753,0.028956134965133856
Rice,0.2080667069969994,0.0813599380828357,-0.18247812638901037,0.01530589783683487,0.006472777990975483,0.31877494401403905,-0.18939440995923248,-0.3505151267014708,-0.19660384724053145,-0.02799988859383,0.5227853980607567,0.009419765926124795,0.17356397014237004,0.1521013639518042,-0.16056724533916053,-0.06249736976512131,-0.07999131863588459,0.21685504026935987,0.3084111288419593,-0.05672983561857774,-0.282183249016007,-0.03992504522228931,0.04929342204421718,-0.13491582167312532,-0.08230715348905421
Rum,0.19211519748031303,0.28861351959833037,0.047947123571389576,-0.12275670933030662,0.20198397516816094,0.05201205978475124,-0.061847211944320836,0.26348695640073766,0.0539120414752587,0.14174697405470235,0.12220121833105092,-0.05348559276108086,0.2527544266766423,-0.6182104125448977,-0.0732131612110355,0.23160014227048564,-0.007314945431884556,-0.09582441539938227,0.32941427800741874,0.1526378759976491,0.10611549368060798,0.1551479014710969,-0.015508129011725625,0.15129740472979386,0.017368336086180165
Sugar,0.20904766385631993,0.10494083594580882,0.20705136423003798,0.017436208983162484,0.052173415419445174,0.04584828470971744,-0.00019340813656119017,-0.3423778377828462,-0.11154433898936425,-0.08380058223297628,0.047266246480998364,-0.327217288328901,-0.4256304039904042,-0.16017232051268782,-0.08927378184771144,0.10731410689890611,-0.016151788228831246,0.3226071044351792,-0.08699157112673685,-0.15500727198064537,0.46565383884366474,-0.14489529339246082,-0.15708264612807496,0.15764479775185228,0.041315752575279495
Sugar Subsitute,0.21200502590044068,0.006712424246281223,0.20134040232204237,-0.07620054561746899,0.09132354679378107,-0.00511498672111887,-0.16391472399043341,-0.1671877788372728,-0.008207746158579806,-0.12900262715476385,-0.3090711640663573,-0.32538320493354933,-0.10853542904941436,-0.034995753037408324,-0.28623156386068604,-0.24278866531165796,-0.20953714072498764,-0.27019685613214195,-0.042755550424727305,-0.08779950468553269,-0.26662594988105054,0.47912892367338356,0.20320184216055412,-0.05115246597722532,-0.04980172590954429
Tar,0.19723553955111442,0.20798553315076043,-0.04759319403527993,-0.43843930294063754,-0.17961201698184517,-0.04432258172126717,0.16311149361428062,-0.13957176885300362,0.32142167575998465,-0.10897549282180612,0.1956771396528061,-0.2446607092446029,0.3890258585652979,0.05208443398476316,0.32382485915229614,-0.19567761797308697,0.009177928029296633,-0.042541944802662816,-0.32188210603898354,-0.09092203720989854,0.1104540762785256,0.04391897115902127,-0.058692648893059,-0.0258882372647681,0.021916213961417918
Tea,0.18323255968803703,0.3395956436819804,0.06223485335002796,0.014005394335004794,-0.07236046353578124,0.1703890858747155,0.3202056270489172,-0.2759902090432259,0.14682795573005236,-0.01893089483659915,-0.21196169074849378,0.4403232708694123,-0.05790358546497714,-0.0483805627153691,-0.09025468689045676,0.3010169575324806,-0.25216375799503177,-0.18194436737812095,-0.12357717374921344,-0.14563020224897819,-0.2697411985385176,-0.20702280890593946,-0.03301161203798203,0.12851657939053418,0.04985951220691913
Tobacco,0.1967086259057653,-0.21762624573504452,-0.20312128024975462,-0.10701789267543813,-0.4031577232366977,0.1601856786514773,-0.12359974846929773,-0.14971310777703742,0.0465794279448952,0.27216609088997196,-0.07424126860539725,0.01765688287276561,-0.27454256240185143,-0.013736245291329644,0.41380317698327973,0.2043548221381869,-0.12735776495733198,0.004396467644584411,0.1173037335917722,0.2712977056096716,0.05112106223210366,0.223204178295336,0.29222639541493806,0.15203556135033675,0.013290152855442501
Turpentine,0.1692255239446321,0.35395474161795804,-0.5091222438348287,0.048607708524804456,0.10118350796520217,-0.34369608493794784,-0.18029054313772253,-0.048830107130222594,0.027623721783303405,-0.2590534723555464,-0.12193174054802354,0.1532466389368857,-0.07051181153044324,0.16998055023411723,-0.13194811083123686,-0.09947195514611779,-0.11865874490066154,-0.11130026654171772,0.08429384659852918,0.2486798112554312,0.3515857294376506,-0.07703484013117126,0.15439747809441812,-0.06904948405990327,-0.017159590941736903
Wheat,0.19922765811055732,-0.22065259080071345,0.03286954557715884,-0.12176545779131538,0.31882139833325146,-0.22291123968715376,-0.12611127746515668,-0.0682216718385145,-0.1635887922947857,-0.10085686358751537,0.10301267670812042,0.3412758896952305,0.0547751875365582,0.06952121702209184,0.22306660210440876,0.32256147811889657,0.14639679333380204,-0.0882008774856027,-0.033798905879338384,-0.4955360395764084,0.15144367180724091,0.27461046724676436,0.1342509661543428,-0.07630252870883292,0.008072365276250614
Wine,0.2097775147724712,0.06452936653969593,0.0260433730637461,0.2559123256161953,-0.08659937155833126,-0.3183218126495883,-0.021731610398937378,-0.15177286232199322,0.19677514206918348,0.15115359897715594,-0.2732553566445975,0.14417215818861734,0.13180539916152723,-0.07468825028907329,0.13769266589469611,-0.3502711823881857,0.23873485997816657,0.3836720722674881,0.2983541938547162,-0.1941002452992062,-0.1537699527947308,0.07607992019998751,-0.09520832176618972,0.2495086269209753,-0.007816328287245334
