m,y,Beef,"Bread, middling",Corn,Flour,Molasses,Pitch,Pork,Rice,"Salt, coarse","Salt, fine","Rum, West Indian","Staves, barrel","Staves, hogshead","Staves, pipe","Sugar, muscavado",Tar,Turpentine,Wheat,"Wine, Madeira"
1,1751,99.1,118.43,110.93,93.62,85.75,121.27,105.1,127.61,42.32,43.91,92.35,93.59,106.65,88.73,108.64,111.01,110.34,105.21,113.61
2,1751,111.49,88.82,118.47,97.52,85.75,121.27,109.3,122.57,42.32,44.25,116.09,85.09,96.95,88.73,103.7,111.01,122.6,97.5,113.61
3,1751,117.69,88.82,118.47,101.42,85.75,121.27,109.3,117.54,42.32,44.25,116.09,85.09,96.95,88.73,103.7,111.01,122.6,97.5,113.61
4,1751,119.74,115.12,133.11,87.77,81.04,157.18,112.11,112.5,42.32,45.63,85.9,85.09,87.26,88.73,93.83,98.71,122.6,95.39,113.61
5,1751,120.78,113.49,128.23,88.55,78.46,161.69,116.31,107.46,42.32,44.25,84.61,80.83,87.84,88.73,88.89,104.82,147.12,93.52,116.76
6,1751,123.88,118.43,137.55,91.35,71.6,161.69,126.12,114.18,36.17,41.51,83.84,85.09,96.95,76.06,93.83,101.76,147.12,92.12,113.61
7,1751,132.13,115.12,140.66,101.42,77.18,134.74,128.92,120.89,36.17,40.14,83.84,85.09,87.26,80.24,86.26,98.71,153.25,104.98,113.61
8,1751,141.42,107.57,136.66,101.81,75.03,143.71,131.72,110.82,45.93,46.31,82.29,85.94,82.41,82.9,83.12,107.96,163.49,98.2,113.61
9,1751,142.46,108.56,140.66,103.37,75.03,161.69,126.12,110.82,43.76,45.63,81.78,102.1,82.41,76.06,88.89,101.76,183.9,97.5,113.61
10,1751,108.4,113.49,122.02,97.52,75.03,134.74,117.71,120.89,45.21,45.63,82.81,93.59,84.93,77.7,86.42,97.14,183.9,102.41,113.61
11,1751,111.49,118.43,88.74,97.52,80.61,161.69,115.61,116.39,43.76,45.97,83.84,85.09,87.26,76.06,88.89,92.51,183.9,108.25,113.61
12,1751,111.49,118.43,110.93,93.62,85.75,161.69,113.5,111.96,42.32,46.66,85.9,85.09,87.26,76.06,88.89,92.51,183.9,109.19,113.61
1,1752,117.69,113.49,110.93,93.62,82.32,161.69,115.61,107.46,40.87,47,84.87,82.96,80.08,76.06,91.36,92.51,171.64,105.21,113.61
2,1752,123.88,108.56,110.93,93.62,78.46,161.69,117.71,102.96,39.06,47.68,83.84,80.83,72.71,76.06,93.83,92.51,159.38,101.24,113.61
3,1752,123.88,108.56,92.29,93.62,78.46,161.69,117.71,98.53,37.62,48.03,83.84,80.83,72.71,76.06,93.83,92.51,159.38,101.24,113.61
4,1752,126.98,107.08,93.18,93.62,82.75,158.32,120.23,94.03,36.17,48.71,83.32,76.58,72.13,78.08,85.73,92.51,154.48,102.41,115.51
5,1752,142.46,108.06,109.6,100.25,87.04,154.96,124.72,94.03,33.27,40.14,83.84,78.96,73.68,77.07,91.36,92.51,182.37,100.77,116.45
6,1752,121.82,106.93,103.39,107.27,85.75,143.71,124.72,98.53,30.02,45.63,86.68,89.34,82.41,78.21,92.19,92.51,173.67,107.08,113.61
7,1752,130.07,108.56,122.02,109.22,85.75,121.27,134.52,107.46,33.27,45.63,83.84,85.09,67.87,88.73,93.83,92.51,171.64,109.19,113.61
8,1752,133.17,107.97,110.93,108.75,84.47,116.22,130.32,110.82,36.17,45.63,81.78,96.44,75.82,85.56,92.6,92.51,153.25,93.99,113.61
9,1752,130.07,105.25,114.48,110.55,81.04,116.76,126.12,125.39,45.21,51.46,81.78,110.61,82.99,88.73,92.19,92.51,155.28,99.37,113.61
10,1752,124.92,106.09,121.58,106.88,82.32,99.71,123.31,120.89,68.36,70.67,80.74,97.85,95.98,88.73,93.67,92.51,139.95,101.94,113.61
11,1752,117.69,109.79,140.66,105.32,82.32,104.43,115.61,120.89,72.34,68.61,81.78,106.36,99.47,89.49,98.77,101.76,153.25,102.41,113.61
12,1752,123.88,108.56,133.11,106.65,85.75,121.27,109.3,134.33,72.34,68.61,81.78,102.1,116.34,101.41,118.52,92.51,91.95,105.21,113.61
1,1753,123.88,108.56,133.11,90.73,85.75,121.27,109.3,134.33,72.34,68.61,81.78,102.1,116.34,101.41,118.52,92.51,91.95,99.37,113.61
2,1753,117.69,106.09,134.89,93.62,85.75,121.27,105.1,134.33,58.95,62.78,81.78,95.3,101.8,103.06,106.17,97.14,107.28,99.37,115.51
3,1753,111.49,103.62,136.66,93.62,85.75,121.27,100.89,134.33,45.21,57.29,81.78,88.49,87.26,104.58,93.83,101.76,122.6,99.37,117.4
4,1753,117.69,106.09,136.66,93.62,85.75,114.53,102.99,134.33,45.21,57.29,81.78,86.79,87.26,96.72,98.77,97.14,122.6,99.37,115.51
5,1753,116.45,102,126.9,94.94,85.75,110.02,103.7,184.7,42.32,68.61,82.29,92.18,84.93,101.41,100.09,92.51,147.12,102.64,117.4
6,1753,123.88,108.56,124.24,98.14,93.04,94.32,105.1,161.19,42.32,68.61,90.55,102.1,93.65,104.58,103.7,90.94,118.5,107.08,121.19
7,1753,111.49,108.56,126.9,105.32,89.18,87.58,110.7,158.98,48.1,62.78,80.23,106.36,101.02,116.24,103.7,86.31,114.45,109.19,121.19
8,1753,111.49,108.06,127.35,106.49,90.04,97.02,111.82,154.48,48.1,62.78,75.58,108.91,99.47,119.79,101.73,78.64,112.79,109.42,122.7
9,1753,111.49,105.5,126.46,110.47,85.75,102.74,108.68,147.76,48.1,61.06,74.81,101.9,104.51,106.99,97.78,87.89,118,106.38,115.51
10,1753,111.49,108.56,132.67,110.23,85.75,105.57,112.11,114.18,54.25,66.55,74.29,95.59,109.75,112.18,101.23,83.26,104.21,111.99,117.4
11,1753,97.57,104.86,133.11,101.42,85.75,101.06,104.05,124.25,60.4,68.61,73.78,96.44,106.65,104.58,101.23,83.26,106.23,111.99,113.61
12,1753,104.06,103.62,110.93,99.47,85.75,121.27,100.89,107.46,54.25,57.29,75.33,85.09,87.26,95.07,98.77,92.51,110.34,101.24,104.15
1,1754,104.06,103.62,133.11,105.32,85.75,121.27,100.89,100.75,54.25,57.29,75.33,85.09,87.26,95.07,98.77,92.51,110.34,101.24,104.15
2,1754,111.49,103.62,110.93,107.27,85.75,107.8,100.89,107.46,48.1,57.29,85.9,102.1,96.95,95.07,98.77,92.51,122.6,85.81,113.61
3,1754,111.49,103.62,110.93,107.27,85.75,107.8,100.89,107.46,48.1,57.29,85.9,102.1,96.95,95.07,98.77,92.51,122.6,85.81,113.61
4,1754,111.49,106.09,116.7,105.32,85.75,121.27,100.89,100.75,60.4,68.61,84.87,102.1,96.95,95.07,106.17,97.14,122.6,110.12,113.61
5,1754,116.15,106.09,105.6,109.22,87.47,101.06,96.69,98.53,57.15,57.29,83.84,91.47,84.35,96.34,104.95,101.76,122.6,106.15,117.4
6,1754,99.1,103.62,110.93,108.28,93.04,87.58,97.53,94.03,57.15,57.29,82.81,93.59,81.24,99.89,99.75,101.76,116.47,116.9,107.93
7,1754,120.16,113.49,99.84,118.04,89.18,107.8,108.88,141.04,48.1,51.46,82.81,93.59,82.41,101.41,104.95,101.76,110.34,116.9,119.29
8,1754,99.1,106.09,90.52,114.13,86.61,104.43,103.41,141.04,52.81,54.2,81.78,96.15,89.78,101.41,102.48,101.76,102.68,114.1,104.15
9,1754,99.1,108.56,88.74,117.02,85.75,107.8,105.1,120.89,54.25,57.29,81.78,97,106.65,101.41,98.77,101.76,91.95,105.21,102.25
10,1754,130.07,111.03,90.52,108.28,80.61,94.32,112.24,120.89,54.25,51.46,81.78,89.34,108,101.41,105.94,97.14,104.21,101.24,115.51
11,1754,123.88,108.56,96.29,109.22,82.32,101.06,109.3,120.89,54.25,51.46,81.78,93.59,109.17,95.07,93.83,101.76,91.95,103.34,94.68
12,1754,115.63,106.93,93.62,111.79,82.32,107.8,98.08,120.89,49.19,49.4,88.23,96.15,105.09,94.06,92.19,101.76,98.08,103.81,109.83
1,1755,111.49,103.62,96.29,109.22,82.32,107.8,100.89,120.89,45.21,45.63,90.29,88.49,106.65,95.07,98.77,101.76,98.08,101.24,113.61
2,1755,117.69,103.62,88.74,110.23,80.61,107.8,100.89,117.54,45.21,45.63,87.19,88.49,96.95,95.07,95.31,101.76,98.08,109.19,113.61
3,1755,123.88,103.62,81.2,110.23,78.46,107.8,100.89,114.18,45.21,45.63,83.84,88.49,87.26,95.07,93.83,101.76,98.08,105.21,113.61
4,1755,123.88,96.22,83.42,97.52,78.46,87.58,105.1,114.18,45.21,45.63,82.81,91.04,86.09,91.9,101.23,87.89,87.35,105.21,117.4
5,1755,111.49,98.69,88.74,99.47,82.32,101.06,126.12,114.18,48.1,45.63,70.94,93.59,89.78,88.73,98.77,101.76,98.08,103.34,94.68
6,1755,123.88,101.16,96.29,105.32,84.04,101.06,124.01,107.46,48.1,45.63,67.07,88.91,89.78,88.73,101.23,97.14,98.08,108.02,113.61
7,1755,111.49,103.62,94.51,109.22,82.32,101.06,121.91,107.46,54.25,51.46,64.49,102.1,86.87,88.73,93.83,111.01,91.95,111.06,113.61
8,1755,132.13,109.79,96.29,112.81,83.61,92.1,126.12,107.46,57.15,57.29,64.49,89.34,89.58,86.2,96.14,109.44,85.82,104.51,99.11
9,1755,132.13,110.19,102.5,107.27,81.04,96.54,109.3,107.46,56.42,53.52,64.49,87.93,89.19,89.75,88.89,121.84,89.93,99.37,113.61
10,1755,123.88,111.03,110.93,116.08,78.46,101.06,113.5,104.1,66.19,62.78,64.49,82.96,88.81,95.07,88.89,115.64,81.22,105.21,123.08
11,1755,105.3,113.49,110.93,109.22,82.32,101.06,100.89,107.46,72.34,68.61,68.88,76.58,77.56,95.07,93.83,115.64,85.82,105.21,113.61
12,1755,105.3,113.49,99.84,101.42,78.46,101.06,100.89,107.46,61.85,64.49,68.88,74.45,75.23,80.87,96.3,115.64,91.95,101.24,113.61
1,1756,99.1,108.56,110.93,105.32,78.46,101.06,105.1,107.46,60.4,68.61,68.88,72.32,75.23,82.39,93.83,115.64,91.95,105.21,113.61
2,1756,117.69,108.56,110.93,105.32,80.61,101.06,102.99,104.1,69.44,68.61,68.88,61.26,72.71,76.06,96.3,108.7,76.63,105.21,113.61
3,1756,123.88,106.09,114.48,123.89,82.32,97.69,105.1,100.75,66.19,65.87,68.88,66.37,72.71,77.7,96.3,113.33,78.16,108.25,113.61
4,1756,123.88,103.62,129.56,105.32,82.32,94.32,105.1,100.75,66.19,62.78,68.88,71.47,72.71,79.23,98.77,115.64,79.69,115.03,113.61
5,1756,136.27,103.62,122.02,97.52,82.32,94.32,105.1,99.4,66.19,62.78,68.88,71.47,71.36,77.32,98.77,111.01,79.69,112.93,117.4
6,1756,136.27,103.62,122.02,93.62,84.04,88.46,105.1,98.06,86.08,87.14,65.52,71.47,69.8,75.42,98.77,106.39,77.42,109.19,121.19
7,1756,111.49,103.62,116.7,97.52,84.04,82.53,105.1,96.72,86.08,111.49,65.52,71.47,68.45,73.52,98.77,101.76,75.09,105.21,124.97
8,1756,111.49,103.62,110.93,97.52,87.47,82.53,105.1,95.37,88.25,111.49,70.43,71.47,66.9,71.62,98.77,97.14,75.09,109.19,128.76
9,1756,123.88,103.62,110.93,103.37,75.03,80.85,105.1,94.03,90.42,85.76,75.33,71.47,65.54,69.72,98.77,92.51,85.82,112.93,132.55
10,1756,123.88,103.62,103.39,101.42,89.18,101.06,98.37,90.67,84.27,85.76,73,71.47,63.02,69.72,90.86,101.76,91.95,79.96,132.55
11,1756,121.56,103.62,88.74,89.72,110.62,101.06,98.69,91.93,86.17,85.12,73,73.77,63.33,68.93,88.89,99.45,91.19,77.86,136.34
12,1756,119.24,103.62,88.74,74.11,110.62,101.06,99,93.19,88.07,84.47,77.39,76.07,63.65,68.13,98.77,97.14,90.42,77.86,141.37
1,1757,116.91,103.62,86.97,85.82,103.76,101.06,99.32,94.45,89.97,83.82,77.39,78.36,63.96,67.34,98.77,94.83,89.65,93.52,146.45
2,1757,114.59,103.62,85.19,93.62,96.47,101.06,99.63,95.71,91.87,83.17,77.39,80.66,64.28,66.55,90.86,92.51,88.89,93.52,151.48
3,1757,112.27,103.62,85.19,101.42,96.47,101.06,99.95,96.97,93.77,82.52,88.23,82.96,64.59,65.76,90.86,90.2,88.12,111.06,143.91
4,1757,109.94,103.62,66.56,81.91,102.05,101.06,100.26,98.23,95.67,81.88,88.23,80.83,64.91,64.96,90.86,87.89,87.35,87.68,149.86
5,1757,107.62,103.62,66.56,83.86,98.19,101.06,100.58,99.49,97.56,81.23,87.19,78.7,65.22,64.17,93.83,85.57,86.59,93.52,147.7
6,1757,105.3,103.62,70.11,81.91,114.48,101.06,100.89,100.75,99.46,80.58,85.9,76.58,65.54,63.38,93.83,83.26,85.82,83.7,132.55
7,1757,120.78,103.62,83.42,87.77,114.48,101.06,105.94,100.75,96.57,79.93,83.84,76.58,65.54,72.89,91.36,92.51,91.95,87.68,146.75
8,1757,122.34,104.86,73.21,91.2,108.05,101.06,104.89,96.25,96.57,83.7,82.29,76.58,68.45,74.54,94.32,92.51,87.35,85.81,151.48
9,1757,117.69,108.56,72.33,91.67,107.19,101.06,106.78,100.75,99.46,94.34,77.39,76.58,77.56,79.23,98.27,83.26,91.95,84.87,160.95
10,1757,111.49,118.43,74.99,94.94,107.19,105.57,104.96,100.75,126.59,102.92,73.78,103.52,100.25,88.73,104.36,92.51,93.97,83.7,151.48
11,1757,111.49,98.69,81.2,81.91,107.19,107.8,105.1,100.75,126.59,102.92,77.39,119.12,106.65,88.73,93.83,92.51,104.21,75.99,151.48
12,1757,109.01,101.65,70.11,83.08,107.19,105.1,100.89,107.46,108.51,93.65,81.78,107.21,104.13,88.73,96.3,85.11,91.95,81.36,159.06
1,1758,111.49,113.49,66.56,83.86,103.76,101.06,98.37,94.03,90.42,85.76,83.84,102.1,106.65,85.56,93.83,83.26,91.95,82.77,151.48
2,1758,113.56,108.56,69.22,89.72,107.19,101.06,102.99,80.6,88.91,84.79,83.84,102.1,106.65,86.09,96.3,84.8,98.08,84.92,166.63
3,1758,115.62,108.56,71.88,85.82,108.91,101.06,107.62,80.6,87.41,83.82,85.9,102.1,106.65,86.62,98.77,86.34,98.08,87.07,162.09
4,1758,117.69,108.56,74.1,81.68,104.62,101.06,97.95,90.67,85.9,82.85,81.78,102.1,106.65,87.15,97.54,87.89,98.08,89.22,151.48
5,1758,119.75,108.56,74.1,93.62,99.9,101.06,88.28,94.03,84.39,81.88,77.39,102.1,106.65,87.68,96.3,89.43,98.08,91.37,151.48
6,1758,121.82,111.03,92.29,108.13,107.19,101.06,90.38,97.39,82.89,80.9,82.81,102.1,106.65,88.2,97.54,90.97,98.08,93.52,151.48
7,1758,123.88,111.03,99.84,105.32,110.62,101.06,92.48,100.75,81.38,79.93,90.29,102.1,106.65,88.73,98.77,92.51,98.08,99.37,170.42
8,1758,125.44,109.2,99.84,103.84,106.33,103.28,110.36,104.1,83.55,78.9,92.35,99.98,106.65,88.73,95.07,92.51,100.41,92.59,168.07
9,1758,123.88,103.62,99.84,100.48,107.19,101.06,113.5,107.46,84.63,79.93,107.57,110.61,111.49,88.73,88.89,92.51,98.08,83.7,151.48
10,1758,123.88,103.62,92.29,97.52,107.19,102.2,113.5,110.82,85.36,80.96,111.7,107.77,116.34,88.73,81.98,92.51,100.1,93.52,151.48
11,1758,117.69,103.62,94.51,97.52,107.19,103.28,92.48,114.18,86.44,81.99,111.7,104.94,116.34,90.38,81.98,92.51,102.19,95.86,151.48
12,1758,111.49,103.62,96.73,101.42,123.49,104.43,92.48,117.54,87.53,82.68,141.88,102.1,106.65,91.9,103.7,92.51,104.21,98.2,170.42
1,1759,114.59,103.62,98.95,101.42,123.49,105.57,117.71,120.89,88.61,83.7,141.88,99.26,106.65,91.9,103.7,92.51,106.23,100.54,170.42
2,1759,113.05,108.56,101.17,103.37,122.63,106.65,113.5,124.25,89.34,84.73,132.34,96.44,99.47,95.07,96.3,92.51,108.32,102.87,170.42
3,1759,111.49,108.56,103.39,105.32,121.34,107.8,109.3,127.61,90.42,85.76,122.53,93.59,92.1,98.24,88.89,92.51,110.34,105.21,170.42
4,1759,114.59,103.62,114.48,104.85,121.34,123.83,112.66,129.83,74.51,71.36,113.51,86.36,84.35,96.72,86.42,97.14,108.81,106.15,170.91
5,1759,119.54,104.86,138.88,107.27,123.06,106.99,111.82,134.33,77.76,81.65,108.09,93.59,93.27,101.41,88.89,97.14,105.74,112.93,168.07
6,1759,117.69,111.03,144.21,111.17,130.35,107.8,110.98,134.33,70.17,77.19,115.05,102.1,89.78,114.08,91.36,92.51,98.08,123.68,160.95
7,1759,123.88,109.79,144.21,115.85,129.49,107.8,117.09,137.69,61.85,73.76,119.44,99.98,102.96,120.42,90.63,92.51,101.94,123.92,168.07
8,1759,130.07,108.56,144.21,115.07,128.63,107.8,121.91,141.04,61.85,68.61,128.98,99.98,87.26,117.25,88.89,97.14,98.08,117.84,160.95
9,1759,130.07,108.56,149.97,119.99,125.2,107.8,130.32,130.97,70.89,74.44,140.85,110.61,101.8,123.59,79.01,97.14,98.08,117.84,179.89
10,1759,123.88,108.56,155.3,124.82,121.34,107.8,134.52,120.89,81.38,79.93,146.27,119.12,116.34,126.76,69.14,101.76,98.08,124.62,189.36
11,1759,123.88,116.8,158.85,128.1,115.34,103.28,109.3,127.61,80.29,102.92,141.11,119.12,83.96,127.77,88.89,120.27,100.1,126.72,176.74
12,1759,123.88,118.43,139.77,128.72,111.91,106.11,107,130.97,77.04,102.92,135.95,119.12,87.26,126.76,98.77,112.22,98.08,128.59,170.42
1,1760,122.89,116.45,131.78,128.72,107.19,107.8,106.16,130.97,72.34,92.28,132.34,110.61,86.29,126.76,94.66,105.28,93.48,128.59,168.83
2,1760,123.88,118.43,140.66,120.92,105.48,107.8,109.3,120.89,72.34,102.92,133.37,110.61,87.26,126.76,91.36,101.76,91.95,128.59,179.89
3,1760,123.88,115.96,112.7,118.97,109.76,101.06,109.3,134.33,81.38,102.92,128.98,110.61,87.26,126.76,96.3,101.76,95.02,117.37,194.09
4,1760,128.02,118.43,118.47,120.92,114.48,87.58,107.2,134.33,67.27,94.34,126.66,95.09,87.26,135.25,95.07,98.71,85.82,124.62,198.82
5,1760,140.41,118.43,128.23,109.84,142.78,92.1,116.58,134.33,67.27,94.34,120.99,107.77,98.5,140.45,98.77,92.51,87.84,112.93,183.03
6,1760,142.46,118.43,125.57,102.43,129.49,96.01,119.39,134.33,76.32,96.4,127.44,110.61,102.38,141.59,94.72,92.51,89.93,103.34,185.57
7,1760,132.13,118.43,128.68,116.08,105.91,97.69,123.31,137.69,82.83,96.4,117.89,110.61,101.8,139.44,94.81,97.14,87.05,118.3,191.25
8,1760,148.66,118.43,133.11,113.12,107.19,94.32,121.91,120.89,78.49,102.92,118.15,110.61,101.8,139.44,98.77,92.51,76.63,116.9,189.36
9,1760,148.66,118.43,149.97,115.07,103.76,84.22,126.12,120.89,82.83,102.92,110.67,110.61,111.49,158.45,98.77,92.51,76.63,119.94,217.76
10,1760,130.07,122.13,134,116.24,117.91,95.67,123.04,120.89,95.12,107.38,116.6,136.14,126.04,174.3,88.18,101.76,85.82,119.24,198.82
11,1760,130.07,135.7,140.66,117.02,121.34,97.69,115.61,120.89,78.49,120.07,116.09,144.65,126.04,174.3,87.41,111.01,88.89,119.94,189.36
12,1760,125.94,123.36,133.11,121.55,121.34,101.06,120.52,120.89,72.34,111.49,115.31,147.49,129.33,181.65,95.47,114.07,91.95,122.75,189.36
1,1761,130.07,123.36,105.6,115.69,119.2,96.54,120.1,120.89,66.19,102.92,113.25,138.98,143.87,185.96,94.48,118.69,86.86,123.68,201.97
2,1761,131.73,123.36,122.02,116.55,116.63,94.32,118.77,120.89,69.44,108.75,113.25,136.14,144.07,190.14,97.28,111.01,80.73,124.62,189.36
3,1761,136.27,123.36,110.93,117.02,107.19,101.06,121.91,120.89,66.19,102.92,116.09,170.17,197.78,190.14,98.77,120.27,91.95,124.62,189.36
4,1761,148.66,123.36,101.17,111.95,104.62,94.32,129.9,120.89,62.21,102.92,110.15,106.36,127.97,160.61,93.83,111.01,85.82,115.03,189.36
5,1761,148.66,123.36,99.84,111.17,99.9,94.32,121.91,104.1,63.29,102.92,98.8,110.61,145.43,158.45,88.89,111.01,85.82,109.19,174.21
6,1761,148.66,118.43,98.06,102.43,102.05,94.32,128.22,120.89,63.29,102.92,102.16,157.41,182.27,158.45,101.23,111.01,85.82,111.06,189.36
7,1761,148.66,123.36,99.84,107.27,103.76,80.85,109.3,104.1,69.44,102.92,94.67,136.14,145.43,158.45,98.77,92.51,85.82,116.9,189.36
8,1761,123.88,123.36,99.84,117.02,96.47,94.32,130.32,94.03,75.23,102.92,83.84,144.65,164.82,177.47,88.89,78.64,85.82,108.25,151.48
9,1761,128.84,123.36,106.05,120.3,98.62,98.84,134.52,107.46,75.23,91.6,88.74,144.65,164.82,168.97,102.06,92.51,85.82,111.06,176.74
10,1761,123.88,120.89,116.7,125.84,94.76,97.69,126.12,107.46,78.49,85.76,90.29,170.17,169.66,167.96,103.7,92.51,88.89,119.94,189.36
11,1761,133.17,132.64,119.36,124.35,96.47,96.01,126.12,107.46,79.21,79.93,90.8,187.19,213.29,159.47,100.01,123.78,87.35,116.9,189.36
12,1761,130.07,132,108.27,118.04,106.33,94.32,124.43,107.46,90.42,90.22,115.05,172.3,184.21,147.42,96.79,85.57,87.35,128.59,189.36
1,1762,126.98,133.23,114.48,117.02,110.62,94.32,124.01,107.46,87.53,91.2,122.53,170.17,193.9,152.11,88.89,92.51,85.82,121.34,189.36
2,1762,130.07,125.83,112.7,127.79,103.76,94.32,126.12,100.75,81.38,92.18,114.02,136.14,198.75,155.28,98.77,92.51,85.82,131.63,191.25
3,1762,133.17,134.46,122.02,120.69,99.9,94.32,126.12,87.31,91.87,93.16,108.6,136.14,235.2,169.61,100.01,92.51,85.82,123.68,189.36
4,1762,136.27,133.23,166.39,111.17,99.9,87.58,146.29,94.03,99.46,94.14,92.35,119.12,155.12,139.44,108.64,83.26,85.82,128.59,189.36
5,1762,136.27,134.86,155.3,115.07,98.19,94.32,159.75,94.03,90.42,95.12,94.67,176.98,174.51,164.79,101.23,92.51,85.82,122.75,189.36
6,1762,136.27,134.46,161.07,114.13,98.19,87.58,155.54,86.17,131.29,96.1,103.19,153.15,162.88,158.45,107,83.26,79.69,120.88,208.29
7,1762,154.85,148.03,150.86,134.11,91.33,88.26,159.75,86.64,123.7,97.08,95.71,161.66,173.54,156.93,104.69,87.89,80.49,128.59,200.72
8,1762,167.24,144.73,179.26,141.44,90.47,96.54,161.14,85.1,109.95,102.92,94.67,178.68,168.11,161.62,111.11,97.14,82.76,131.63,189.36
9,1762,161.04,159.88,166.39,142.38,93.04,89.81,159.75,86.64,108.51,102.92,95.96,170.17,168.69,164.79,106.59,92.51,78.47,135.84,193.14
10,1762,161.04,152.97,166.39,141.44,93.04,87.58,132.42,94.03,108.51,101.3,96.74,165.92,145.43,190.14,98.77,97.14,75.09,132.57,189.36
11,1762,146.18,157.9,181.92,159.46,96.47,86.78,136.2,87.31,110.68,99.68,99.83,151.03,157.64,191.79,106.67,101.76,73.56,153.84,189.36
12,1762,136.27,150.5,177.49,150.18,103.76,87.58,140.83,110.82,99.46,98.06,102.16,136.14,135.73,190.14,103.7,101.76,76.63,157.82,189.36
1,1763,149.9,157.9,177.49,148.23,107.19,94.32,142.93,110.82,99.46,96.45,110.41,144.65,126.04,190.14,105.34,104.82,76.63,163.66,201.97
2,1763,148.66,157.9,155.3,148.23,103.76,92.64,134.52,94.03,108.51,94.83,109.64,119.12,155.12,190.14,108.64,111.01,78.16,163.66,189.36
3,1763,142.46,157.9,155.3,152.13,85.75,90.95,136.63,94.03,84.27,93.21,107.57,102.1,140.58,164.79,103.7,111.01,78.16,163.66,208.29
4,1763,148.66,152.97,177.49,150.18,103.76,90.95,142.93,94.03,60.4,91.6,103.19,102.1,121.19,145.77,113.58,101.76,79.69,160.86,189.36
5,1763,148.66,148.03,169.94,144.33,89.18,94.32,146.29,94.03,54.25,91.6,85.9,110.61,106.65,164.79,108.64,115.64,91.95,157.82,208.29
6,1763,140.41,148.03,158.85,132.62,90.47,94.32,137.33,94.03,54.25,91.6,88.23,96.44,145.43,173.28,103.37,100.19,79.69,146.13,183.03
7,1763,142.46,148.03,155.3,136.52,82.32,96.01,140.27,104.1,69.44,91.4,83.84,106.36,135.73,164.79,85.93,125.17,79.69,129.99,175.15
8,1763,148.66,148.03,177.49,115.07,67.75,97.69,151.34,114.18,77.04,91.21,77.39,110.61,126.04,158.45,88.89,111.01,85.82,108.25,179.89
9,1763,148.66,148.03,179.26,121.55,77.61,107.8,151.34,114.18,84.27,91.02,83.07,129.76,134.18,152.11,100.4,113.33,82.76,126.72,195.68
10,1763,161.04,148.03,181.03,126.77,75.03,121.27,151.34,114.18,84.27,90.82,85.9,110.61,140.58,152.11,83.95,124.89,85.82,128.59,170.42
11,1763,161.04,140.14,155.3,105.32,71.6,115.88,151.34,114.18,90.42,90.63,98.8,108.91,131.85,147.04,83.95,123.97,88.27,128.59,170.42
12,1763,151.75,132.24,155.3,105.32,67.75,110.49,168.15,107.46,90.42,90.44,116.09,107.21,123.13,141.97,93.83,123.04,90.73,122.75,170.42
1,1764,142.46,124.35,144.21,107.27,67.75,105.1,168.15,100.75,84.27,90.24,128.98,105.51,114.4,136.9,89.88,122.12,93.18,116.9,170.42
2,1764,142.46,116.45,133.11,109.22,67.75,99.71,168.15,100.75,84.27,90.05,128.98,103.8,105.68,131.83,89.88,121.19,95.63,116.9,170.42
3,1764,123.88,108.56,133.11,101.42,75.03,94.32,168.15,94.03,80.29,89.86,77.39,102.1,96.95,126.76,88.89,120.27,98.08,124.62,170.42
4,1764,136.27,103.62,110.93,99.47,67.75,101.06,176.56,87.31,76.32,89.67,77.39,108.48,106.65,120.42,93.83,129.52,104.21,111.99,160.95
5,1764,148.66,98.69,110.93,85.82,67.75,107.8,168.15,94.03,72.34,89.47,77.39,114.87,116.34,114.08,98.77,138.77,110.34,99.37,151.48
6,1764,148.66,93.75,110.93,89.72,67.75,107.8,168.15,100.75,68.36,89.28,70.94,119.12,96.95,114.08,99.75,92.51,104.21,112.93,170.42
7,1764,148.66,93.75,103.39,97.52,66.03,107.8,168.15,97.39,64.38,89.09,66.56,119.12,96.95,114.08,102.72,92.51,104.21,116.9,170.42
8,1764,148.66,148.03,110.93,97.52,71.6,101.06,176.56,100.75,60.4,88.89,70.94,127.63,96.95,95.07,98.77,101.76,104.21,99.37,227.23
9,1764,148.66,129.92,114.48,100.48,71.6,101.06,175.17,100.75,61.85,88.7,73,118.27,96.95,101.41,103.7,106.39,105.74,97.96,224.08
10,1764,148.66,128.3,133.11,97.52,67.75,102.2,176.56,99.07,63.29,88.51,73,102.1,106.65,114.08,88.89,111.01,107.28,93.52,227.23
11,1764,173.43,133.23,133.11,103.37,75.03,103.28,147.14,97.39,60.4,97.08,77.39,102.1,111.49,114.08,98.77,115.64,104.21,99.37,227.23
12,1764,173.43,133.23,122.02,110.23,75.03,104.43,121.91,97.39,58.59,92.11,85.9,102.1,111.49,114.08,101.23,120.27,101.15,99.37,227.23
1,1765,142.46,114.73,155.3,105.32,69.89,105.57,130.32,99.07,57.15,87.14,79.45,110.61,133.4,126.76,100.01,120.27,98.08,99.37,208.29
2,1765,111.49,96.22,133.11,103.37,64.32,106.65,128.22,100.75,55.34,82.16,73,119.12,155.12,139.44,98.77,111.01,95.02,99.37,189.36
3,1765,111.49,96.22,118.47,101.42,67.75,107.8,126.12,100.75,53.53,77.19,75.33,119.12,155.12,139.44,94.81,111.01,91.95,105.21,189.36
