,,,Bread,,,,,Flour,Flour,Flour,,Iron,Leather,,,,,Rum,Sugar,Sugar,,Tea,,,,
,,Beef,Ship,Chocolate,Coffee,Corn,Cotton,Common,Middling,Superior,Indigo,Bar,Sole,Molasses,Pepper,Pork,Rice,West Indian,Loaf,Muscavado,Tar,Bohea,Tobacco,Turpentine,Wheat,Wine
m,y,Pounds per barrel,Shillings per hundredweight,Pence per pound,Pence per pound,Shillings per bushel,Shillings per pound,Shillings per hundredweight,Shillings per hundredweight,Shillings per hundredweight,Shillings per pound,Pounds per ton,Shillings per pound,Shillings per gal,Shillings per pound,Pounds per barrel,Shillings per hundredweight,Shillings per gal,Shillings per pound,Pounds per hundredweight,Shillings per barrel,Shillings per pound,Shillings per hundredweight,Shillings per barrel,Shillings per bushel,Pounds per pipe
9,1786,600,2880,2325,2325,825,450,3390,2790,3645,1012.5,3825,225,262.5,525,787.5,3900,499.5,162,412.5,1200,412.5,5625,1800,1182,9000
10,1786,600,2880,2325,2400,675,450,3165,2565,3645,1012.5,3825,243,262.5,450,787.5,3900,499.5,162,412.5,1200,412.5,5625,1800,1069.5,9000
11,1786,600,2880,2325,2700,469.5,450,3210,2685,3600,1012.5,3825,225,268.5,450,900,3900,499.5,162,412.5,1200,412.5,6000,1800,1087.5,9000
12,1786,600,2880,2325,2850,456,450,3090,2445,3435,1012.5,3825,225,288,450,675,3900,499.5,162,412.5,1500,412.5,6000,1800,1125,9000
1,1787,600,2880,2325,2850,432,450,3165,2445,3435,1012.5,3825,225,288,450,675,3900,499.5,162,412.5,1500,412.5,6000,1800,1125,9000
2,1787,600,2880,2325,2850,450,450,3090,2235,3435,1012.5,3825,244.5,312,450,637.5,3900,544.5,162,412.5,1500,412.5,6000,1800,1125,9000
3,1787,600,2880,2175,2850,450,450,3000,2235,3435,1012.5,3825,231,312,450,675,3825,544.5,162,412.5,1500,412.5,6000,1800,1087.5,9000
4,1787,582,2880,1875,2220,469.5,450,2955,2310,3435,975,3825,231,312,400.5,675,3825,544.5,156,412.5,1500,432,6000,1800,1012.5,9000
5,1787,582,2880,1875,2250,525,450,3000,2145,3435,787.5,3825,199.5,262.5,375,675,3825,487.5,156,412.5,1500,394.5,6180,1800,1012.5,9000
6,1787,582,2880,1875,2625,450,450,3045,2445,3645,787.5,3825,199.5,312,349.5,675,3825,507,162,412.5,1500,363,6000,1800,1237.5,9000
7,1787,582,2880,2175,2325,588,450,3210,2550,3645,862.5,3825,199.5,274.5,349.5,675,3900,487.5,162,412.5,1500,363,5625,1500,1087.5,9000
8,1787,582,2700,1875,2400,493.5,450,2910,2265,3135,862.5,3750,199.5,274.5,349.5,693,3750,475.5,162,393,1500,363,6000,1500,975,9000
9,1787,582,2625,2175,2430,493.5,450,2610,2100,2835,862.5,3750,199.5,288,363,712.5,3750,475.5,162,393,1650,363,6300,1500,862.5,9000
10,1787,582,2625,1875,2520,493.5,438,2610,2100,2835,937.5,3750,199.5,268.5,363,712.5,3525,475.5,154.5,393,1650,363,6300,1500,862.5,9000
11,1787,469.5,2550,2175,2775,475.5,438,2535,2055,2700,1012.5,3825,199.5,268.5,363,675,3525,475.5,154.5,393,1650,412.5,6300,1500,862.5,9000
12,1787,450,2250,2175,2775,412.5,438,2445,1995,2640,1012.5,3825,199.5,282,412.5,600,3525,475.5,162,393,1650,412.5,6300,1500,787.5,9000
1,1788,432,2400,2175,2775,387,438,2340,1800,2610,1012.5,3825,187.5,282,412.5,600,3525,475.5,162,393,1650,412.5,6300,1800,787.5,9000
2,1788,432,2475,2175,2475,375,438,2310,1815,2610,1012.5,3825,175.5,282,412.5,600,3525,475.5,162,412.5,1650,412.5,6300,1800,787.5,9000
3,1788,432,2400,2175,2175,343.5,438,2295,1815,3000,900,3900,199.5,282,412.5,516,3420,487.5,162,412.5,1650,400.5,6150,1800,900,9000
4,1788,432,2280,1950,2175,387,412.5,2355,1815,3090,900,3900,187.5,282,412.5,543,3420,487.5,159,412.5,1425,394.5,6150,1800,900,9000
5,1788,394.5,2175,1950,2175,412.5,412.5,2805,2145,3165,900,3900,187.5,282,412.5,552,3180,487.5,159,412.5,1425,394.5,6150,1800,1012.5,9000
6,1788,391.5,2175,1950,2400,424.5,412.5,2685,2295,3165,900,4050,187.5,288,412.5,552,3330,487.5,159,412.5,1425,357,6150,1800,1012.5,9000
7,1788,387,2175,1875,2325,432,412.5,2655,2145,3000,900,4050,181.5,282,412.5,552,3480,487.5,159,412.5,1425,363,6150,1800,937.5,9000
8,1788,387,2100,1875,2430,412.5,412.5,2805,2235,3000,900,4020,178.5,271.5,412.5,571.5,3375,438,159,412.5,1350,363,6150,1800,825,9000
9,1788,387,2100,1875,2775,400.5,375,2700,2145,3000,807,3975,178.5,271.5,412.5,571.5,3375,438,159,412.5,1350,300,6150,1800,825,9000
10,1788,387,2025,1875,2775,438,375,2745,2145,2955,1087.5,3900,213,265.5,432,571.5,3420,450,159,403.5,1590,274.5,6000,1875,900,9000
11,1788,387,2025,1875,2925,412.5,375,2655,2055,2910,1087.5,3900,213,265.5,432,571.5,3600,450,159,403.5,1590,274.5,5250,1875,882,9000
12,1788,387,2025,1800,2775,333,337.5,2745,2085,3000,862.5,3825,213,282,406.5,562.5,3675,481.5,147,432,1875,282,5250,2070,919.5,9000
1,1789,387,2025,1800,2700,354,337.5,2535,2040,3000,862.5,3900,213,271.5,406.5,562.5,3675,525,147,432,1875,282,5250,2070,900,9000
2,1789,387,2025,1800,2550,357,337.5,2565,2040,2910,862.5,3900,213,271.5,406.5,562.5,3600,525,147,432,1800,282,5250,2070,862.5,9000
3,1789,360,2025,1800,2550,319.5,337.5,2565,2040,3000,862.5,3900,175.5,271.5,406.5,529.5,3600,544.5,147,432,1800,282,5250,2070,862.5,9000
4,1789,360,1950,1800,2550,312,309,2610,2040,3000,862.5,3900,175.5,259.5,424.5,529.5,3000,544.5,147,432,1575,271.5,5250,1875,937.5,9000
5,1789,360,1950,2250,2850,450,309,2955,2445,3435,862.5,3900,175.5,312,424.5,529.5,3000,562.5,175.5,478.5,1575,300,5250,1875,1069.5,9000
6,1789,360,2100,2250,3000,525,309,3195,2490,3645,862.5,3900,175.5,312,424.5,550.5,2850,544.5,175.5,478.5,1575,300,5250,1875,1087.5,9000
7,1789,360,2400,2175,2850,499.5,309,3000,2490,3315,862.5,3900,213,312,424.5,550.5,2850,544.5,175.5,478.5,1575,300,5250,1875,1125,9000
8,1789,360,2325,2175,2925,544.5,309,3165,2490,3510,862.5,4050,213,312,387,529.5,2850,544.5,169.5,459,1575,300,5250,1875,1012.5,9000
9,1789,360,2325,2100,3000,550.5,309,3240,2655,3645,862.5,4050,213,300,387,529.5,2850,544.5,169.5,459,1575,282,5250,1875,1012.5,9000
10,1789,360,2325,1950,3000,562.5,309,3285,2535,3645,862.5,4050,213,303,387,529.5,2925,619.5,162,459,1575,282,4875,1875,1125,9000
11,1789,402,2325,1950,3000,600,309,3135,2565,3435,862.5,4050,213,303,387,529.5,2925,619.5,162,459,1575,282,4875,1875,1125,9000
12,1789,367.5,2700,1950,2775,513,309,3600,2895,3645,862.5,4125,213,349.5,387,529.5,3375,675,162,459,2325,300,4875,2625,1263,9000
1,1790,367.5,2700,1950,2625,487.5,282,3645,2910,3810,862.5,4125,213,325.5,475.5,529.5,3375,675,175.5,459,2325,349.5,4875,2625,1350,9000
2,1790,367.5,2700,1950,2625,562.5,282,3960,3105,4305,862.5,4125,213,325.5,475.5,529.5,3375,694.5,175.5,459,2325,349.5,4875,2625,1530,9000
3,1790,367.5,3525,1950,2100,750,282,4500,4065,4815,862.5,4200,213,300,475.5,529.5,3375,694.5,175.5,459,2325,349.5,4875,2625,1695,9000
4,1790,367.5,3750,1800,2400,787.5,282,4800,3855,4995,862.5,4200,213,291,375,529.5,3375,619.5,175.5,459,2325,349.5,4875,2625,1920,9000
5,1790,367.5,3750,1800,2400,750,282,5145,4185,5355,862.5,4200,213,325.5,375,529.5,3375,619.5,175.5,459,2325,349.5,4875,2625,1980,9000
6,1790,367.5,4200,1800,2475,675,312,4755,3990,4965,862.5,4200,213,349.5,375,529.5,3375,619.5,175.5,478.5,2325,349.5,4875,2625,1680,9000
7,1790,411,4050,1800,2325,582,282,4365,3345,4665,862.5,4200,213,319.5,400.5,591,3600,657,175.5,487.5,2325,349.5,4875,2625,1530,9000
8,1790,411,3900,1800,2325,562.5,282,4335,3360,4590,862.5,4200,213,331.5,400.5,712.5,3600,657,187.5,525,1635,331.5,4875,2625,1425,9000
9,1790,411,2850,1800,2325,582,237,3435,3210,3855,862.5,4200,213,343.5,400.5,712.5,3450,657,187.5,562.5,1635,331.5,4875,2625,1237.5,9000
10,1790,411,2625,1800,2430,462,237,3555,2790,3705,862.5,4200,213,381,400.5,753,3450,694.5,225,618,2475,400.5,4875,2700,1200,9000
11,1790,379.5,2700,1875,2325,600,250.5,3765,2790,3945,787.5,4500,213,375,400.5,733.5,3000,675,225,618,2625,412.5,5820,3000,1312.5,9180
12,1790,379.5,2850,2100,2175,525,250.5,3645,3210,3945,787.5,4500,213,412.5,400.5,631.5,3420,649.5,225,618,2250,387,5820,3000,1263,9180
